annee;patho_niv1;patho_niv2;patho_niv3;top;cla_age_5;sexe;region;dept;Ntop;Npop;prev;Niveau prioritaire;libelle_classe_age;libelle_sexe;tri
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;76;11;20;13680;0.154;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;76;32;;7280;;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;76;46;;6900;;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;76;65;20;8860;0.169;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;76;66;30;17970;0.184;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;76;82;20;8730;0.252;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;76;09;10;5770;0.191;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;84;15;10;5290;0.227;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;84;26;30;17310;0.168;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;84;63;40;21430;0.168;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;93;05;10;5270;0.209;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;94;2A;;5330;;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;2;94;999;30;11320;0.274;2,3;de 60 à 64 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;01;999;110;28890;0.391;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;02;972;80;29430;0.262;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;04;974;150;51680;0.284;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;04;999;150;51680;0.284;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;06;976;20;3780;0.397;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;06;999;20;3780;0.397;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;24;36;30;15620;0.211;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;24;45;70;40720;0.179;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;24;999;300;163380;0.184;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;27;71;70;37930;0.187;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;27;89;60;22600;0.266;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;27;90;20;8540;0.269;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;28;27;80;38170;0.215;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;28;50;70;35360;0.204;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;32;62;270;91530;0.299;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;32;80;80;35280;0.215;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;44;10;30;18920;0.174;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;44;51;90;34170;0.26;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;44;54;90;42590;0.216;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;44;67;210;69730;0.305;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;44;08;40;17920;0.201;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;52;44;160;82810;0.196;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;53;35;120;60480;0.195;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;53;56;110;55800;0.201;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;53;999;460;223690;0.206;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;75;16;40;24780;0.169;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;75;19;20;16980;0.124;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;75;23;20;9060;0.188;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;75;64;100;46500;0.222;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;75;86;50;27320;0.168;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;76;34;160;73630;0.221;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;76;48;;5300;;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;84;01;60;37380;0.15;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;84;26;60;33500;0.164;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;84;03;50;23530;0.217;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;84;38;130;75490;0.178;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;84;07;40;23270;0.189;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;93;05;30;10250;0.244;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;93;06;160;72090;0.221;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;93;83;150;77130;0.198;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;94;999;70;22050;0.295;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;60-64;9;99;999;9140;4144820;0.22;2,3;de 60 à 64 ans;tous sexes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;11;93;210;32060;0.661;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;11;94;190;28300;0.686;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;24;28;50;11950;0.393;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;24;999;320;75630;0.418;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;27;25;60;13650;0.462;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;27;71;90;18250;0.482;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;27;89;50;10900;0.477;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;27;90;20;3690;0.46;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;28;27;70;17010;0.435;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;28;61;50;9340;0.482;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;32;02;110;15560;0.687;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;44;10;40;8670;0.404;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;44;55;30;6010;0.433;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;44;08;50;8330;0.612;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;44;88;60;12160;0.452;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;44;999;900;158330;0.571;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;52;44;180;36380;0.503;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;52;49;80;22250;0.346;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;53;35;130;26270;0.502;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;53;999;490;103000;0.474;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;75;40;70;14600;0.473;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;75;79;60;11530;0.512;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;75;87;60;11540;0.477;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;75;999;860;189900;0.452;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;76;12;50;9570;0.512;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;76;30;140;24130;0.576;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;76;32;20;6860;0.335;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;76;09;20;5550;0.396;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;76;999;810;177620;0.453;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;84;15;30;5400;0.519;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;84;26;60;15330;0.359;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;84;38;140;32520;0.421;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;84;999;900;209010;0.431;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;93;05;20;4920;0.345;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;1;94;2A;20;4800;0.5;2,3;de 65 à 69 ans;hommes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;2;06;976;;1230;;2,3;de 65 à 69 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;2;11;94;180;32660;0.545;2,3;de 65 à 69 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;2;11;95;160;29290;0.557;2,3;de 65 à 69 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;2;24;999;360;83190;0.435;2,3;de 65 à 69 ans;femmes;37.0
2021;Maladies neurologiques ou dégénératives;Démences (dont maladie d'Alzheimer);Démences (dont maladie d'Alzheimer);top_NDemenc_ind;65-69;2;27;58;30;8280;0.35;2,3;de 65 à 69 ans;femmes;37.0
